255,255,255,255,255
255,255,0,255,255
255,0,255,0,255
0,255,0,255,0
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,1,255,255
255,0,255,0,255
255,255,255,255,255
255,255,255,255,255
255,16,255,16,255
16,255,1,255,16
255,255,255,255,255
255,2,255,2,255
2,255,255,255,2
255,255,255,255,255
255,255,255,255,255
255,255,16,255,255
255,16,255,16,255
255,255,1,255,255
255,17,255,17,255
16,255,255,255,16
255,255,3,255,255
16,255,255,255,16
255,255,255,255,255
255,255,4,255,255
255,255,255,255,255
255,255,255,255,255
255,255,17,255,255
255,255,255,255,255
255,255,3,255,255
255,3,255,3,255
255,255,255,255,255
255,255,20,255,255
255,255,20,255,255
255,255,20,255,255
255,255,255,255,255
255,1,255,1,255
255,255,1,255,255
255,255,255,255,255
255,255,255,255,255
255,255,21,255,255
255,20,255,20,255
19,255,255,255,19
255,1,19,1,255
255,255,255,255,255
255,255,17,255,255
255,255,255,255,255
255,255,255,255,255
255,255,6,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255
255,255,255,255,255

